frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
37,14023,70.406970,877170.202917,818358.332951,5881.186997,0.000000,877029.381383,818217.511417,5881.186997,0.000000,453
38,14402,69.704660,877056.345984,818244.476018,5881.186997,0.000000,877029.381383,818217.511417,5881.186997,0.000000,455
39,14781,69.356137,876985.724310,818173.854344,5881.186997,0.000000,876953.573371,818141.703405,5881.186997,0.000000,459
40,15160,68.664309,877180.457666,818368.587700,5881.186997,0.000000,876953.573371,818141.703405,5881.186997,0.000000,461
41,15539,67.979383,851278.749916,822627.104093,2865.164582,0.000000,851278.749916,822627.104093,2865.164582,0.000000,463
42,15918,67.301288,850507.754371,821856.108547,2865.164582,0.000000,850449.170120,821797.524297,2865.164582,0.000000,467
43,16297,66.629958,850512.406869,821860.761046,2865.164582,0.000000,850449.170120,821797.524297,2865.164582,0.000000,468
44,16676,65.965324,837632.637828,821479.067996,1615.356983,0.000000,837632.637828,821479.067996,1615.356983,0.000000,477
45,17055,65.307320,837220.967802,821067.397970,1615.356983,0.000000,837043.603276,820890.033444,1615.356983,0.000000,484
46,17434,64.655880,833352.328650,817198.758818,1615.356983,0.000000,833352.328650,817198.758818,1615.356983,0.000000,489
47,17813,64.010937,825530.588523,817171.118027,835.947050,0.000000,825400.062933,817040.592437,835.947050,0.000000,494
48,18192,63.690883,820143.690887,813866.257436,627.743345,0.000000,820143.690887,813866.257436,627.743345,0.000000,499
49,18571,63.055566,819138.714811,818968.254994,17.045982,0.000000,819103.618057,818933.158239,17.045982,0.000000,504
50,18950,62.426587,817802.297320,817631.837503,17.045982,0.000000,817802.297320,817631.837503,17.045982,0.000000,509
51,19329,61.803882,817574.878338,817404.418520,17.045982,0.000000,817569.706949,817399.247131,17.045982,0.000000,512
52,19708,61.187388,817546.309978,817375.850161,17.045982,0.000000,817546.309978,817375.850161,17.045982,0.000000,514
53,20087,60.577044,816347.384984,816176.925166,17.045982,0.000000,816347.384984,816176.925166,17.045982,0.000000,520
54,20466,59.972788,816022.566905,815852.107087,17.045982,0.000000,816022.566905,815852.107087,17.045982,0.000000,526
55,20845,59.374559,815995.338579,815824.878762,17.045982,0.000000,815940.868526,815770.408709,17.045982,0.000000,529
56,21224,58.782298,815668.746222,815498.286404,17.045982,0.000000,815662.608971,815492.149153,17.045982,0.000000,535
57,21603,58.195944,815668.746222,815498.286404,17.045982,0.000000,815662.608971,815492.149153,17.045982,0.000000,536
